 wavenumber    crosssection    coefficient
 2022.582290    1.6736503804E-22    4.8091289378E-03
 2022.587080    1.6901357307E-22    4.8564985533E-03
 2022.591870    1.7068571608E-22    4.9045465294E-03
 2022.596660    1.7238164034E-22    4.9532778446E-03
 2022.601450    1.7410150842E-22    5.0026971704E-03
 2022.606240    1.7584547132E-22    5.0528088459E-03
 2022.611030    1.7761366754E-22    5.1036168503E-03
 2022.615820    1.7940622202E-22    5.1551247742E-03
 2022.620610    1.8122324520E-22    5.2073357905E-03
 2022.625400    1.8306483184E-22    5.2602526225E-03
 2022.630190    1.8493105994E-22    5.3138775112E-03
 2022.634980    1.8682198954E-22    5.3682121821E-03
 2022.639770    1.8873766149E-22    5.4232578091E-03
 2022.644560    1.9067809619E-22    5.4790149776E-03
 2022.649350    1.9264329216E-22    5.5354836461E-03
 2022.654140    1.9463322480E-22    5.5926631067E-03
 2022.658930    1.9664784480E-22    5.6505519435E-03
 2022.663720    1.9868707677E-22    5.7091479895E-03
 2022.668510    2.0075081763E-22    5.7684482831E-03
 2022.673300    2.0283893505E-22    5.8284490217E-03
 2022.678090    2.0495126578E-22    5.8891455147E-03
 2022.682880    2.0708761402E-22    5.9505321355E-03
 2022.687670    2.0924774963E-22    6.0126022714E-03
 2022.692460    2.1143140639E-22    6.0753482729E-03
 2022.697250    2.1363827965E-22    6.1387613860E-03
 2022.702040    2.1586802659E-22    6.2028317596E-03
 2022.706830    2.1812026116E-22    6.2675483010E-03
